2,Dwaka Dham Club House,"Cricket, Football","Dwarka Dham Club House, New Jail Road, Abbas Nagar, Gandhi Nagar, Bhopal, Madhya Pradesh, India",23.3012,77.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Sport Complex,"Cricket, Football, 
 Basketball, Vollyball","Abbas Nagar, Gandhi Nagar, Bhopal, Madhya Pradesh, India",23.3062,77.352,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,MP Academy,"Cricket, Football, Basketball, Vollyball","m.p academy water sport centre, Lower Lake, Jahangirabad, Bhopal, Madhya Pradesh, India",23.2505,77.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"Sport Complex , MANIT","Cricket, Football, Basketball, Vollyball","Sports Complex, MANIT, Maulana Azad National Institute of Technology, Bhopal, Madhya Pradesh, India",23.2137,77.407,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Netaji Subhas National Institute of Sports,"Cricket, Football, Basketball","896W+M9H, Old Moti Bagh, Moti Bagh, Patiala, Punjab 147001",30.3085,76.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Sport Complex RGPV,NULL,"8976+V5X, Abbas Nagar, Gandhi Nagar, Bhopal, Madhya Pradesh 462033",23.3062,77.3524,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
15,"Sports Complex, MANIT",NULL,"Maulana Azad National Institute of Technology, Bhopal, Madhya Pradesh 462007",23.1759,77.3883,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
17,BHEL Sports Club,NULL,"6FG4+3C6, Sector A, Habib Ganj, Bhopal, Madhya Pradesh 462022",23.2491,77.4765,NULL,0755 250 2699,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
18,"Sports Complex, NLIU Bhopal",NULL,"59M8+X2F, Kerwa Dam Rd, Sharda Vihar, National Law Institute University, Bhopal, Madhya Pradesh 462007",23.1759,77.3883,NULL,091118 83421,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
19,Tatya Tope Stadium Bhopal,NULL,"Stadium, STT Nagar, TT Nagar, Bhopal, Madhya Pradesh 462003",23.2224,77.3913,NULL,091118 83421,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
20,Bhojpur Club,NULL,"E-1, Arera Colony, Bhopal, Madhya Pradesh 462016",23.2192,77.4322,NULL,0755 420 4362,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
21,"Badminton Court, Sport Complex",NULL,"6C64+HCP, Maulana Azad National Institute of Technology, Bhopal, Madhya Pradesh 462007",23.2152,77.4099,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
23,Badminton Court,NULL,"7C53+W8W, Itwara, Azad Market, Peer Gate Area, Bhopal, Madhya Pradesh 462001",23.259,77.405,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
24,Stadium Bhopal,NULL,"69JX+GC7, STT Nagar, TT Nagar, Bhopal, Madhya Pradesh 462003",23.2302,77.397,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
25,Gladiator Fitness Club,NULL,"Sonagiri, Plot H-7, Sector B, Indrapuri, Bhopal, Madhya Pradesh 462021",23.253,77.4712,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",0000-00-00,1899-12-31,NULL
26,Club 59,NULL,"E-5/10, Link Rd Number 3, Opposite Habibganj Police Station, Board Colony, Bittan Market, Bhopal, Madhya Pradesh 462016",23.2167,77.4269,NULL,0755 422 4959,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
27,Indore Sport Complex TMU,NULL,"QR35+M6G, Indore, Madhya Pradesh 452005",22.7486,75.8127,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
28,MGM Sport Complex,NULL,"PV7M+G4G, CRP Line, Indore, Madhya Pradesh 452001",22.7082,75.8824,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
29,Abhay Prasal Sport Club,NULL,"10/1, Race Course Rd, Race Course Road, Indore, Madhya Pradesh 452001",22.7257,75.878,NULL,0731 404 8008,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
30,Solaris Sport Club,NULL,"3 Jay Nagar, near AB Road, Rajiv Gandhi Cir, Jai Nagar, Ambikapuri, Indore, Madhya Pradesh 452001",22.7237,75.8782,NULL,091099 99023,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
31,Muskan Sports International,NULL,"80, Readymade Complex, Pardesipura, Indore, Madhya Pradesh 452007",22.7205,75.8609,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
32,Indore Sport Complex,NULL,"MR94+V4M, RRCAT, Indore, Madhya Pradesh 452013",22.6677,75.7978,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
33,Ramesh Ramesh Sport Club,NULL,"4-A, Navlakha Rd, Navlakha, Angad Kapoor Region, Janki Nagar, Indore, Madhya Pradesh 452001",22.6987,75.8777,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
34,BasketBall Complex,NULL,"IDA Building, 7, Race Course Rd, Near Abhay Parshal, Race Course Rd, Near Abhay Parshal, New Palasia, Indore, Madhya Pradesh 452001",22.7274,75.8844,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
